change_type,cluster_id,cluster_size,template_mined,cluster_count
cluster_created,42047,1,digraph {,1024
cluster_created,42048,1,<<:CHAR:>NUM<:CHAR:>> return False,1024
cluster_created,42049,1,"<:CHAR:>Input contains NaN, infinity or a value too large for dtype(<<:CHAR:>VID<:CHAR:>>)<:CHAR:><:CHAR:>",1024
none,42027,4,<<:CHAR:>VID<:CHAR:>> object has no attribute <<:CHAR:>VID<:CHAR:>>,1024
cluster_created,42050,1,setting an array element with a sequence<:CHAR:>,1024
none,42027,5,<<:CHAR:>VID<:CHAR:>> object has no attribute <<:CHAR:>VID<:CHAR:>>,1024
cluster_created,42051,1,indices are out-of-bounds,1024
none,39530,149,in <:*:> code<:CHAR:>,1024
cluster_created,42052,1,can't pickle <<:CHAR:>URL<:CHAR:>> objects,1024
none,42052,2,can't pickle <<:CHAR:>URL<:CHAR:>> objects,1024
none,42027,6,<<:CHAR:>VID<:CHAR:>> object has no attribute <<:CHAR:>VID<:CHAR:>>,1024
cluster_created,42053,1,"<:CHAR:>Argument <<:CHAR:>VID<:CHAR:>> has incorrect type (expected <<:CHAR:>URL<:CHAR:>>, got csr matrix)<:CHAR:>",1024
none,42027,7,<<:CHAR:>VID<:CHAR:>> object has no attribute <<:CHAR:>VID<:CHAR:>>,1024
cluster_created,42054,1,f1 score() got an unexpected keyword argument <<:CHAR:>VID<:CHAR:>>,1024
cluster_created,42055,1,[WinError <<:CHAR:>NUM<:CHAR:>>] The system cannot find the file specified,1024
cluster_created,42056,1,"<:CHAR:>Unknown label type<:CHAR:> (array([<<:CHAR:>NUM<:CHAR:>><:CHAR:><<:CHAR:>NUM<:CHAR:>>, <<:CHAR:>NUM<:CHAR:>><:CHAR:><<:CHAR:>NUM<:CHAR:>>, <<:CHAR:>NUM<:CHAR:>><:CHAR:><<:CHAR:>NUM<:CHAR:>>, <<:CHAR:>NUM<:CHAR:>><:CHAR:><<:CHAR:>NUM<:CHAR:>>, <<:CHAR:>NUM<:CHAR:>><:CHAR:><<:CHAR:>NUM<:CHAR:>>, <<:CHAR:>NUM<:CHAR:>><:CHAR:><<:CHAR:>NUM<:CHAR:>>, <<:CHAR:>NUM<:CHAR:>><:CHAR:><<:CHAR:>NUM<:CHAR:>>, <<:CHAR:>NUM<:CHAR:>><:CHAR:><<:CHAR:>NUM<:CHAR:>>, <<:CHAR:>NUM<:CHAR:>><:CHAR:><<:CHAR:>NUM<:CHAR:>>, <<:CHAR:>NUM<:CHAR:>><:CHAR:><<:CHAR:>NUM<:CHAR:>>, <<:CHAR:>NUM<:CHAR:>><:CHAR:><<:CHAR:>NUM<:CHAR:>> ]),)<:CHAR:>",1024
cluster_created,42057,1,name <<:CHAR:>VID<:CHAR:>> is not defined,1024
none,42049,2,"<:CHAR:>Input contains NaN, infinity or a value too large for dtype(<<:CHAR:>VID<:CHAR:>>)<:CHAR:><:CHAR:>",1024
none,42050,2,setting an array element with a sequence<:CHAR:>,1024
none,42021,3,X has <<:CHAR:>NUM<:CHAR:>> features per sample<:CHAR:> expecting <<:CHAR:>NUM<:CHAR:>>,1024
cluster_created,42058,1,x is neither increasing nor decreasing <:CHAR:> [<<:CHAR:>NUM<:CHAR:>> <<:CHAR:>NUM<:CHAR:>> <<:CHAR:>NUM<:CHAR:>> <:CHAR:><:CHAR:><:CHAR:> <<:CHAR:>NUM<:CHAR:>> <<:CHAR:>NUM<:CHAR:>> <<:CHAR:>NUM<:CHAR:>>]<:CHAR:>,1024
cluster_created,42059,1,<:CHAR:>The classifier does not expose <:CHAR:><:CHAR:>coef <:CHAR:><:CHAR:> or <:CHAR:><:CHAR:>feature importances <:CHAR:><:CHAR:> attributes<:CHAR:>,1024
cluster_created,42060,1,list index out of range,1024
none,42041,2,No module named <<:CHAR:>VID<:CHAR:>>,1024
none,42039,2,"<:CHAR:>Found input variables with inconsistent numbers of samples<:CHAR:> [<<:CHAR:>NUM<:CHAR:>>, <<:CHAR:>NUM<:CHAR:>>]<:CHAR:>",1024
cluster_created,42061,1,Classes different from first n integers are not supported in SVC converter<:CHAR:>,1024
none,42021,4,X has <<:CHAR:>NUM<:CHAR:>> features per sample<:CHAR:> expecting <<:CHAR:>NUM<:CHAR:>>,1024
cluster_created,42062,1,"<:CHAR:>Expected n neighbors <= n samples, but n samples = <<:CHAR:>NUM<:CHAR:>>, n neighbors = <<:CHAR:>NUM<:CHAR:>><:CHAR:>",1024
none,42062,2,"<:CHAR:>Expected n neighbors <= n samples, but n samples = <<:CHAR:>NUM<:CHAR:>>, n neighbors = <<:CHAR:>NUM<:CHAR:>><:CHAR:>",1024
cluster_created,42063,1,Number of priors must match number of classes<:CHAR:>,1024
none,42050,3,setting an array element with a sequence<:CHAR:>,1024
none,41285,3,arrays used as indices must be of integer (or boolean) type,1024
none,42021,5,X has <<:CHAR:>NUM<:CHAR:>> features per sample<:CHAR:> expecting <<:CHAR:>NUM<:CHAR:>>,1024
cluster_created,42064,1,cannot import name <<:CHAR:>VID<:CHAR:>>,1024
cluster_created,42065,1,array must not contain infs or NaNs,1024
cluster_created,42066,1,"<:CHAR:><<:CHAR:>URL<:CHAR:>>[<<:CHAR:>NUM<:CHAR:>>] = <<:CHAR:>NUM<:CHAR:>> should be equal to <<:CHAR:>NUM<:CHAR:>>, the number of features at training time<:CHAR:>",1024
cluster_template_changed,41907,2,<:*:> on <module <<:CHAR:>VID<:CHAR:>> (built-in)>,1024
cluster_created,42067,1,"<:CHAR:><<:CHAR:>URL<:CHAR:>> has the wrong size, try recompiling<:CHAR:>",1024
cluster_template_changed,42049,3,"<:CHAR:>Input contains NaN, infinity or a value too large for <:*:>",1024
cluster_created,42068,1,Unknown label type<:CHAR:> <<:CHAR:>NUM<:CHAR:>> <<:CHAR:>NUM<:CHAR:>>,1024
cluster_created,42069,1,I not found,1024
cluster_created,42070,1,setting an array element with a,1024
none,39529,154,<:EMP:>,1024
cluster_created,42071,1,<<:CHAR:>VID<:CHAR:>> object is not callable,1024
cluster_created,42072,1,idx = len(label list),1024
cluster_created,42073,1,"<:CHAR:>bad input shape (<<:CHAR:>NUM<:CHAR:>>, <<:CHAR:>NUM<:CHAR:>>)<:CHAR:>",1024
cluster_template_changed,42071,2,<<:CHAR:>VID<:CHAR:>> object is not <:*:>,1024
none,42071,3,<<:CHAR:>VID<:CHAR:>> object is not <:*:>,1024
cluster_created,42074,1,<:CHAR:><:CHAR:><:CHAR:>[<<:CHAR:>VID<:CHAR:>> <<:CHAR:>VID<:CHAR:>> <<:CHAR:>VID<:CHAR:>> <<:CHAR:>VID<:CHAR:>><:CHAR:>,1024
cluster_template_changed,41890,2,could not convert string to float<:CHAR:> <:*:>,1024
cluster_created,42075,1,"<:CHAR:>Error sending result<:CHAR:> '[<<<:CHAR:>URL<:CHAR:>> object at <<:CHAR:>HEX<:CHAR:>>>]'<:CHAR:> Reason<:CHAR:> 'TypeError(<:CHAR:><:CHAR:>can't pickle <<:CHAR:>URL<:CHAR:>> objects<:CHAR:><:CHAR:>,)'<:CHAR:>",1024
none,42049,4,"<:CHAR:>Input contains NaN, infinity or a value too large for <:*:>",1024
none,40410,8,<<:CHAR:>VID<:CHAR:>> codec can't decode byte <<:CHAR:>HEX<:CHAR:>> in position <<:CHAR:>NUM<:CHAR:>><:CHAR:> <:*:> <:*:> <:*:> <:*:>,1024
none,40410,9,<<:CHAR:>VID<:CHAR:>> codec can't decode byte <<:CHAR:>HEX<:CHAR:>> in position <<:CHAR:>NUM<:CHAR:>><:CHAR:> <:*:> <:*:> <:*:> <:*:>,1024
none,41890,3,could not convert string to float<:CHAR:> <:*:>,1024
none,42060,2,list index out of range,1024
cluster_created,42076,1,NULL result without error in PyObject Call,1024
cluster_template_changed,42022,2,unsupported operand type(s) for <:*:> <<:CHAR:>VID<:CHAR:>> and <<:CHAR:>VID<:CHAR:>>,1024
cluster_created,42077,1,Found array with dim <<:CHAR:>NUM<:CHAR:>><:CHAR:> Expected <<:CHAR:>NUM<:CHAR:>>,1024
none,42039,3,"<:CHAR:>Found input variables with inconsistent numbers of samples<:CHAR:> [<<:CHAR:>NUM<:CHAR:>>, <<:CHAR:>NUM<:CHAR:>>]<:CHAR:>",1024
cluster_created,42078,1,The number of classes has to be greater than one<:CHAR:> got <<:CHAR:>NUM<:CHAR:>>,1024
none,42078,2,The number of classes has to be greater than one<:CHAR:> got <<:CHAR:>NUM<:CHAR:>>,1024
cluster_created,42079,1,You appear to be using a legacy multi-label data representation<:CHAR:> Sequence of sequences are no longer supported<:CHAR:> use a binary array or sparse matrix instead<:CHAR:>,1024
none,42079,2,You appear to be using a legacy multi-label data representation<:CHAR:> Sequence of sequences are no longer supported<:CHAR:> use a binary array or sparse matrix instead<:CHAR:>,1024
cluster_created,42080,1,could not convert string to float<:CHAR:> <value of ColC here>,1024
cluster_created,42081,1,cannot import name <<:CHAR:>VID<:CHAR:>> from <<:CHAR:>VID<:CHAR:>> (C<:CHAR:>\Users\Usuario\Anaconda3\lib\site-packages\sklearn\<<:CHAR:>URL<:CHAR:>>),1024
cluster_created,42082,1,multiclass-multioutput is not supported,1024
cluster_created,42083,1,Can't handle mix of binary and multiclass-multioutput,1024
cluster_created,42084,1,negative column index found,1024
cluster_created,42085,1,module <<:CHAR:>VID<:CHAR:>> has no attribute <<:CHAR:>VID<:CHAR:>>,1024
none,42023,2,Found array with dim <<:CHAR:>NUM<:CHAR:>><:CHAR:> Estimator expected <= <<:CHAR:>NUM<:CHAR:>><:CHAR:>,1024
none,42023,3,Found array with dim <<:CHAR:>NUM<:CHAR:>><:CHAR:> Estimator expected <= <<:CHAR:>NUM<:CHAR:>><:CHAR:>,1024
cluster_created,42086,1,unorderable types<:CHAR:> str() > float(),1024
none,41890,4,could not convert string to float<:CHAR:> <:*:>,1024
cluster_created,42087,1,Found input variables with inconsistent numbers of samples<:CHAR:>,1024
cluster_created,42088,1,invalid index,1024
cluster_created,42089,1,Array of type <<:CHAR:>VID<:CHAR:>> required<:CHAR:> Array of type <<:CHAR:>VID<:CHAR:>> given,1024
cluster_created,42090,1,bad input shape (),1024
none,42039,4,"<:CHAR:>Found input variables with inconsistent numbers of samples<:CHAR:> [<<:CHAR:>NUM<:CHAR:>>, <<:CHAR:>NUM<:CHAR:>>]<:CHAR:>",1024
cluster_created,42091,1,empty vocabulary<:CHAR:> perhaps the documents only contain stop words,1024
none,42039,5,"<:CHAR:>Found input variables with inconsistent numbers of samples<:CHAR:> [<<:CHAR:>NUM<:CHAR:>>, <<:CHAR:>NUM<:CHAR:>>]<:CHAR:>",1024
cluster_created,42092,1,Number of features of the model must match the input<:CHAR:> Model n features is <<:CHAR:>NUM<:CHAR:>> and input n features is <<:CHAR:>NUM<:CHAR:>>,1024
cluster_created,42093,1,type object <<:CHAR:>VID<:CHAR:>> has no attribute <<:CHAR:>VID<:CHAR:>>,1024
cluster_created,42094,1,could not convert string to float<:CHAR:> 'Dell b2<:CHAR:>5b<:CHAR:>a6',1024
cluster_created,42095,1,Complex data not supported,1024
cluster_created,42096,1,"<:CHAR:>k should be >=<<:CHAR:>NUM<:CHAR:>>, <= n features = <<:CHAR:>NUM<:CHAR:>><:CHAR:> got <<:CHAR:>NUM<:CHAR:>><:CHAR:> Use k=<<:CHAR:>VID<:CHAR:>> to return all features<:CHAR:><:CHAR:>",1024
none,42096,2,"<:CHAR:>k should be >=<<:CHAR:>NUM<:CHAR:>>, <= n features = <<:CHAR:>NUM<:CHAR:>><:CHAR:> got <<:CHAR:>NUM<:CHAR:>><:CHAR:> Use k=<<:CHAR:>VID<:CHAR:>> to return all features<:CHAR:><:CHAR:>",1024
cluster_created,42097,1,vocabulary not found,1024
cluster_created,42098,1,unknown opcode,1024
none,39529,155,<:EMP:>,1024
cluster_created,42099,1,Array contains NaN or infinity<:CHAR:>,1024
none,42027,8,<<:CHAR:>VID<:CHAR:>> object has no attribute <<:CHAR:>VID<:CHAR:>>,1024
cluster_created,42100,1,Only one class present in y true<:CHAR:> ROC AUC score is not defined in that case<:CHAR:>,1024
none,42085,2,module <<:CHAR:>VID<:CHAR:>> has no attribute <<:CHAR:>VID<:CHAR:>>,1024
cluster_created,42101,1,"<:CHAR:>All estimators should implement fit and transform, or can be <<:CHAR:>VID<:CHAR:>> or <<:CHAR:>VID<:CHAR:>> specifiers<:CHAR:> '[(<<:CHAR:>VID<:CHAR:>>, SimpleImputer(add indicator=False, copy=True, fill value=<<:CHAR:>VID<:CHAR:>>,<:CHAR:>",1024
cluster_created,42102,1,"<:CHAR:>Buffer has wrong number of dimensions (expected <<:CHAR:>NUM<:CHAR:>>, got <<:CHAR:>NUM<:CHAR:>>)<:CHAR:>",1024
cluster_created,42103,1,"<:CHAR:>array() argument <<:CHAR:>NUM<:CHAR:>> must be a unicode character, not list<:CHAR:>",1024
none,41890,5,could not convert string to float<:CHAR:> <:*:>,1024
cluster_created,42104,1,"<:CHAR:>Unknown label type<:CHAR:> array([ <<:CHAR:>NUM<:CHAR:>><:CHAR:>, <<:CHAR:>NUM<:CHAR:>><:CHAR:>, <<:CHAR:>NUM<:CHAR:>><:CHAR:>, <<:CHAR:>NUM<:CHAR:>><:CHAR:>, <<:CHAR:>NUM<:CHAR:>><:CHAR:>, <<:CHAR:>NUM<:CHAR:>><:CHAR:>, <<:CHAR:>NUM<:CHAR:>><:CHAR:>, <<:CHAR:>NUM<:CHAR:>><:CHAR:>, <<:CHAR:>NUM<:CHAR:>><:CHAR:>, <<:CHAR:>NUM<:CHAR:>><:CHAR:>, <<:CHAR:>NUM<:CHAR:>><:CHAR:>, <<:CHAR:>NUM<:CHAR:>><:CHAR:>, <<:CHAR:>NUM<:CHAR:>><:CHAR:>,<:CHAR:>",1024
cluster_created,42105,1,"<:CHAR:>Solver lbfgs supports only <<:CHAR:>VID<:CHAR:>> or <<:CHAR:>VID<:CHAR:>> penalties, got l1 penalty<:CHAR:><:CHAR:>",1024
cluster_template_changed,41212,3,too many <:*:> <:*:> <:*:>,1024
cluster_template_changed,42083,2,Can't handle mix of <:*:> and <:*:>,1024
cluster_created,42106,1,No such file or directory,1024
none,41890,6,could not convert string to float<:CHAR:> <:*:>,1024
cluster_created,42107,1,<:CHAR:><:CHAR:><:CHAR:>[<<:CHAR:>VID<:CHAR:>> <<:CHAR:>VID<:CHAR:>>] not in index<:CHAR:><:CHAR:><:CHAR:>,1024
none,41890,7,could not convert string to float<:CHAR:> <:*:>,1024
cluster_created,42108,1,-> <<:CHAR:>NUM<:CHAR:>> return self<:CHAR:> <<:CHAR:>URL<:CHAR:>> loc(self<:CHAR:> maybe cast indexer(key)),1024
cluster_template_changed,41327,2,[Errno <<:CHAR:>NUM<:CHAR:>>] Permission denied<:CHAR:> <:*:> <:*:>,1024
none,42055,2,[WinError <<:CHAR:>NUM<:CHAR:>>] The system cannot find the file specified,1024
cluster_created,42109,1,only integer arrays with one element can be converted to an index,1024
cluster_template_changed,42038,2,invalid literal for float()<:CHAR:> <:*:>,1024
none,42060,3,list index out of range,1024
cluster_created,42110,1,DLL load failed<:CHAR:> The specified procedure could not be found<:CHAR:>,1024
none,42050,4,setting an array element with a sequence<:CHAR:>,1024
cluster_created,42111,1,continuous is not supported,1024
cluster_template_changed,42110,2,DLL load failed<:CHAR:> The specified <:*:> could not be found<:CHAR:>,1024
cluster_created,42112,1,"<:CHAR:>cannot reshape array of size <<:CHAR:>NUM<:CHAR:>> into shape (<<:CHAR:>NUM<:CHAR:>>,<<:CHAR:>NUM<:CHAR:>>)<:CHAR:>",1024
none,42041,3,No module named <<:CHAR:>VID<:CHAR:>>,1024
none,42085,3,module <<:CHAR:>VID<:CHAR:>> has no attribute <<:CHAR:>VID<:CHAR:>>,1024
cluster_created,42113,1,Unknown label type<:CHAR:> <<:CHAR:>VID<:CHAR:>>*****,1024
none,42027,9,<<:CHAR:>VID<:CHAR:>> object has no attribute <<:CHAR:>VID<:CHAR:>>,1024
none,40410,10,<<:CHAR:>VID<:CHAR:>> codec can't decode byte <<:CHAR:>HEX<:CHAR:>> in position <<:CHAR:>NUM<:CHAR:>><:CHAR:> <:*:> <:*:> <:*:> <:*:>,1024
cluster_created,42114,1,cannot import name <<:CHAR:>VID<:CHAR:>> from partially initialized module <<:CHAR:>VID<:CHAR:>> (most likely due to a circular import) (C<:CHAR:>\Users\user\AppData\Local\Packages\<<:CHAR:>URL<:CHAR:>><:CHAR:><<:CHAR:>NUM<:CHAR:>><:CHAR:><<:CHAR:>NUM<:CHAR:>> qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\sklearn\ init <:CHAR:>py),1024
cluster_created,42115,1,"<:CHAR:>Unknown label type<:CHAR:> array([[ <<:CHAR:>NUM<:CHAR:>><:CHAR:>72000000e+<<:CHAR:>NUM<:CHAR:>>],<:CHAR:>",1024
none,42109,2,only integer arrays with one element can be converted to an index,1024
none,42041,4,No module named <<:CHAR:>VID<:CHAR:>>,1024
none,42027,10,<<:CHAR:>VID<:CHAR:>> object has no attribute <<:CHAR:>VID<:CHAR:>>,1024
cluster_created,42116,1,illegal value in <<:CHAR:>NUM<:CHAR:>>-th argument of internal None,1024
cluster_created,42117,1,"<:CHAR:>operands could not be broadcast together with shapes (<<:CHAR:>NUM<:CHAR:>>,<<:CHAR:>NUM<:CHAR:>>) (<<:CHAR:>NUM<:CHAR:>>,) (<<:CHAR:>NUM<:CHAR:>>,<<:CHAR:>NUM<:CHAR:>>)<:CHAR:>",1024
none,41905,2,"<:CHAR:>non-broadcastable output operand with shape (<<:CHAR:>NUM<:CHAR:>>,<<:CHAR:>NUM<:CHAR:>>) doesn't match the broadcast shape (<<:CHAR:>NUM<:CHAR:>>,<<:CHAR:>NUM<:CHAR:>>)<:CHAR:>",1024
cluster_created,42118,1,function takes at most <<:CHAR:>NUM<:CHAR:>> arguments (<<:CHAR:>NUM<:CHAR:>> given),1024
none,42023,4,Found array with dim <<:CHAR:>NUM<:CHAR:>><:CHAR:> Estimator expected <= <<:CHAR:>NUM<:CHAR:>><:CHAR:>,1024
none,42039,6,"<:CHAR:>Found input variables with inconsistent numbers of samples<:CHAR:> [<<:CHAR:>NUM<:CHAR:>>, <<:CHAR:>NUM<:CHAR:>>]<:CHAR:>",1024
none,41890,8,could not convert string to float<:CHAR:> <:*:>,1024
cluster_created,42119,1,ndarray is not C-contiguous,1024
none,42039,7,"<:CHAR:>Found input variables with inconsistent numbers of samples<:CHAR:> [<<:CHAR:>NUM<:CHAR:>>, <<:CHAR:>NUM<:CHAR:>>]<:CHAR:>",1024
none,42023,5,Found array with dim <<:CHAR:>NUM<:CHAR:>><:CHAR:> Estimator expected <= <<:CHAR:>NUM<:CHAR:>><:CHAR:>,1024
none,39529,156,<:EMP:>,1024
none,42027,11,<<:CHAR:>VID<:CHAR:>> object has no attribute <<:CHAR:>VID<:CHAR:>>,1024
cluster_created,42120,1,tuple index out of range,1024
cluster_created,42121,1,pop from empty list,1024
cluster_created,42122,1,"<:CHAR:>The least populated class in y has only <<:CHAR:>NUM<:CHAR:>> member, which is too few<:CHAR:> The minimum number of groups for any class cannot be less than <<:CHAR:>NUM<:CHAR:>><:CHAR:><:CHAR:>",1024
cluster_created,42123,1,self<:CHAR:>c map cannot be converted to a Python object for pickling,1024
cluster_created,42124,1,Transformer pipeline (type Pipeline) does not provide get feature names<:CHAR:>,1024
none,42110,3,DLL load failed<:CHAR:> The specified <:*:> could not be found<:CHAR:>,1024
cluster_created,42125,1,cannot import name check build,1024
none,42024,2,dimension mismatch,1024
none,42027,12,<<:CHAR:>VID<:CHAR:>> object has no attribute <<:CHAR:>VID<:CHAR:>>,1024
none,42077,2,Found array with dim <<:CHAR:>NUM<:CHAR:>><:CHAR:> Expected <<:CHAR:>NUM<:CHAR:>>,1024
cluster_created,42126,1,cannot convert float infinity to integer,1024
cluster_created,42127,1,<:CHAR:>cannot copy sequence with size <<:CHAR:>NUM<:CHAR:>> to array axis with dimension <<:CHAR:>NUM<:CHAR:>><:CHAR:><:CHAR:> error<:CHAR:> Necessary?<:CHAR:>,1024
none,42050,5,setting an array element with a sequence<:CHAR:>,1024
cluster_created,42128,1,Found unknown categories ['?'] in column <<:CHAR:>NUM<:CHAR:>> during transform,1024
none,42079,3,You appear to be using a legacy multi-label data representation<:CHAR:> Sequence of sequences are no longer supported<:CHAR:> use a binary array or sparse matrix instead<:CHAR:>,1024
none,42079,4,You appear to be using a legacy multi-label data representation<:CHAR:> Sequence of sequences are no longer supported<:CHAR:> use a binary array or sparse matrix instead<:CHAR:>,1024
cluster_created,42129,1,call () takes at least <<:CHAR:>NUM<:CHAR:>> arguments (<<:CHAR:>NUM<:CHAR:>> given),1024
cluster_created,42130,1,Custom Score() takes exactly <<:CHAR:>NUM<:CHAR:>> arguments (<<:CHAR:>NUM<:CHAR:>> given),1024
none,42073,2,"<:CHAR:>bad input shape (<<:CHAR:>NUM<:CHAR:>>, <<:CHAR:>NUM<:CHAR:>>)<:CHAR:>",1024
none,39529,157,<:EMP:>,1024
none,41769,2,"<:CHAR:>not enough values to unpack (expected <<:CHAR:>NUM<:CHAR:>>, got <<:CHAR:>NUM<:CHAR:>>)<:CHAR:>",1024
cluster_template_changed,42125,2,cannot import name <:*:> <:*:>,1024
cluster_created,42131,1,Last step of Pipeline should implement fit<:CHAR:> ' SeniorCitizen Partner Dependents tenure PhoneService \,1024
cluster_created,42132,1,"<:CHAR:>Cannot clone object Apply(fn=<<<:CHAR:>URL<:CHAR:>> <<:CHAR:>URL<:CHAR:>> object at <<:CHAR:>HEX<:CHAR:>>>), as the constructor does not seem to set parameter fn<:CHAR:>",1024
none,42073,3,"<:CHAR:>bad input shape (<<:CHAR:>NUM<:CHAR:>>, <<:CHAR:>NUM<:CHAR:>>)<:CHAR:>",1024
none,42091,2,empty vocabulary<:CHAR:> perhaps the documents only contain stop words,1024
cluster_created,42133,1,"<:CHAR:><:CHAR:><:CHAR:>None of [Index([<<:CHAR:>VID<:CHAR:>>, <<:CHAR:>VID<:CHAR:>>, <<:CHAR:>VID<:CHAR:>>, <<:CHAR:>VID<:CHAR:>>, <<:CHAR:>VID<:CHAR:>>], dtype=<<:CHAR:>VID<:CHAR:>>)] are in the [columns]<:CHAR:><:CHAR:><:CHAR:>",1024
cluster_created,42134,1,can only convert an array of size <<:CHAR:>NUM<:CHAR:>> to a Python scalar,1024
cluster_template_changed,42041,5,No module named <:*:>,1024
cluster_created,42135,1,Running cythonize failed!,1024
cluster_template_changed,41318,3,init () takes <:*:> <:*:> <:*:> <:*:> (<<:CHAR:>NUM<:CHAR:>> given),1024
none,42049,5,"<:CHAR:>Input contains NaN, infinity or a value too large for <:*:>",1024
none,42039,8,"<:CHAR:>Found input variables with inconsistent numbers of samples<:CHAR:> [<<:CHAR:>NUM<:CHAR:>>, <<:CHAR:>NUM<:CHAR:>>]<:CHAR:>",1024
cluster_created,42136,1,Not implemented for this type,1024
none,42110,4,DLL load failed<:CHAR:> The specified <:*:> could not be found<:CHAR:>,1024
